AdWords API,Google Ads API
ExternalCustomerId,customer.id
FinalUrlSuffix,ad_group.final_url_suffix
GmailForwards,metrics.gmail_forwards
GmailSaves,metrics.gmail_saves
GmailSecondaryClicks,metrics.gmail_secondary_clicks
HourOfDay,segments.hour
ImpressionAssistedConversions,DEPRECATED
ImpressionAssistedConversionsOverLastClickConversions,DEPRECATED
ImpressionAssistedConversionValue,DEPRECATED
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
LabelIds,UPCOMING RELEASE
Labels,UPCOMING RELEASE
Month,segments.month
MonthOfYear,segments.month_of_year
NumOfflineImpressions,metrics.phone_impressions
NumOfflineInteractions,metrics.phone_calls
OfflineInteractionRate,metrics.phone_through_rate
PercentNewVisitors,metrics.percent_new_visitors
Quarter,segments.quarter
RelativeCtr,metrics.relative_ctr
SearchAbsoluteTopImpressionShare,metrics.search_absolute_top_impression_share
SearchBudgetLostAbsoluteTopImpressionShare,metrics.search_budget_lost_absolute_top_impression_share
SearchBudgetLostTopImpressionShare,metrics.search_budget_lost_top_impression_share
SearchExactMatchImpressionShare,metrics.search_exact_match_impression_share
SearchImpressionShare,metrics.search_impression_share
SearchRankLostAbsoluteTopImpressionShare,metrics.search_rank_lost_absolute_top_impression_share
SearchRankLostImpressionShare,metrics.search_rank_lost_impression_share
SearchRankLostTopImpressionShare,metrics.search_rank_lost_top_impression_share
SearchTopImpressionShare,metrics.search_top_impression_share
Slot,segments.slot
TargetCpa,ad_group.effective_target_cpa_micros
TargetCpaBidSource,ad_group.effective_target_cpa_source
TopImpressionPercentage,metrics.top_impression_percentage
TrackingUrlTemplate,ad_group.tracking_url_template
UrlCustomParameters,ad_group.url_custom_parameters
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
ValuePerCurrentModelAttributedConversion,metrics.value_per_current_model_attributed_conversion
VideoQuartile100Rate,metrics.video_quartile_100_rate
VideoQuartile25Rate,metrics.video_quartile_25_rate
VideoQuartile50Rate,metrics.video_quartile_50_rate
VideoQuartile75Rate,metrics.video_quartile_75_rate
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
