AdWords API,Google Ads API
LongHeadline,ad_group_ad.ad.legacy_responsive_display_ad.long_headline
MainColor,ad_group_ad.ad.legacy_responsive_display_ad.main_color
MarketingImageCallToActionText,ad_group_ad.ad.gmail_ad.marketing_image_display_call_to_action.text
MarketingImageCallToActionTextColor,ad_group_ad.ad.gmail_ad.marketing_image_display_call_to_action.text_color
MarketingImageDescription,ad_group_ad.ad.gmail_ad.marketing_image_headline
MarketingImageHeadline,ad_group_ad.ad.gmail_ad.marketing_image_description
Month,segments.month
MonthOfYear,DEPRECATED
MultiAssetResponsiveDisplayAdAccentColor,ad_group_ad.ad.responsive_display_ad.accent_color
MultiAssetResponsiveDisplayAdAllowFlexibleColor,ad_group_ad.ad.responsive_display_ad.allow_flexible_color
MultiAssetResponsiveDisplayAdBusinessName,ad_group_ad.ad.responsive_display_ad.business_name
MultiAssetResponsiveDisplayAdCallToActionText,ad_group_ad.ad.responsive_display_ad.call_to_action_text
MultiAssetResponsiveDisplayAdDescriptions,ad_group_ad.ad.responsive_display_ad.descriptions
MultiAssetResponsiveDisplayAdDynamicSettingsPricePrefix,ad_group_ad.ad.responsive_display_ad.price_prefix
MultiAssetResponsiveDisplayAdDynamicSettingsPromoText,ad_group_ad.ad.responsive_display_ad.promo_text
MultiAssetResponsiveDisplayAdFormatSetting,ad_group_ad.ad.responsive_display_ad.format_setting
MultiAssetResponsiveDisplayAdHeadlines,ad_group_ad.ad.responsive_display_ad.headlines
MultiAssetResponsiveDisplayAdLandscapeLogoImages,ad_group_ad.ad.responsive_display_ad.logo_images
MultiAssetResponsiveDisplayAdLogoImages,ad_group_ad.ad.responsive_display_ad.square_logo_images
MultiAssetResponsiveDisplayAdLongHeadline,ad_group_ad.ad.responsive_display_ad.long_headline
MultiAssetResponsiveDisplayAdMainColor,ad_group_ad.ad.responsive_display_ad.main_color
MultiAssetResponsiveDisplayAdMarketingImages,ad_group_ad.ad.responsive_display_ad.marketing_images
MultiAssetResponsiveDisplayAdSquareMarketingImages,ad_group_ad.ad.responsive_display_ad.square_marketing_images
MultiAssetResponsiveDisplayAdYouTubeVideos,ad_group_ad.ad.responsive_display_ad.youtube_videos
Path1,ad_group_ad.ad.expanded_text_ad.path1
Path2,ad_group_ad.ad.expanded_text_ad.path2
PercentNewVisitors,metrics.percent_new_visitors
PolicySummary,ad_group_ad.policy_summary
PricePrefix,ad_group_ad.ad.legacy_responsive_display_ad.price_prefix
PromoText,ad_group_ad.ad.legacy_responsive_display_ad.promo_text
Quarter,segments.quarter
ResponsiveSearchAdDescriptions,ad_group_ad.ad.responsive_search_ad.descriptions
ResponsiveSearchAdHeadlines,ad_group_ad.ad.responsive_search_ad.headlines
ResponsiveSearchAdPath1,ad_group_ad.ad.responsive_search_ad.path1
ResponsiveSearchAdPath2,ad_group_ad.ad.responsive_search_ad.path2
ShortHeadline,ad_group_ad.ad.legacy_responsive_display_ad.short_headline
Slot,segments.slot
Status,ad_group_ad.status
SystemManagedEntitySource,ad_group_ad.ad.system_managed_resource_source
TopImpressionPercentage,metrics.top_impression_percentage
UniversalAppAdDescriptions,ad_group_ad.ad.app_ad.descriptions
UniversalAppAdHeadlines,ad_group_ad.ad.app_ad.headlines
UniversalAppAdHtml5MediaBundles,ad_group_ad.ad.app_ad.html5_media_bundles
UniversalAppAdImages,ad_group_ad.ad.app_ad.images
UniversalAppAdMandatoryAdText,ad_group_ad.ad.app_ad.mandatory_ad_text
UniversalAppAdYouTubeVideos,ad_group_ad.ad.app_ad.youtube_videos
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
ValuePerCurrentModelAttributedConversion,metrics.value_per_current_model_attributed_conversion
VideoQuartile100Rate,metrics.video_quartile_100_rate
VideoQuartile25Rate,metrics.video_quartile_25_rate
VideoQuartile50Rate,metrics.video_quartile_50_rate
VideoQuartile75Rate,metrics.video_quartile_75_rate
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
