AdWords API,Google Ads API
FinalUrlSuffix,campaign.final_url_suffix
GmailForwards,metrics.gmail_forwards
GmailSaves,metrics.gmail_saves
GmailSecondaryClicks,metrics.gmail_secondary_clicks
HasRecommendedBudget,campaign_budget.has_recommended_budget
HourOfDay,segments.hour
ImpressionAssistedConversions,DEPRECATED
ImpressionAssistedConversionsOverLastClickConversions,DEPRECATED
ImpressionAssistedConversionValue,DEPRECATED
ImpressionReach,metrics.impression_reach
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
InvalidClickRate,metrics.invalid_click_rate
InvalidClicks,metrics.invalid_clicks
IsBudgetExplicitlyShared,campaign_budget.explicitly_shared
LabelIds,UPCOMING RELEASE
Labels,UPCOMING RELEASE
MaximizeConversionValueTargetRoas,campaign.maximize_conversion_value.target_roas
Month,segments.month
MonthOfYear,segments.month_of_year
NumOfflineImpressions,metrics.phone_impressions
NumOfflineInteractions,metrics.phone_calls
OfflineInteractionRate,metrics.phone_through_rate
PercentNewVisitors,metrics.percent_new_visitors
Period,campaign_budget.period
Quarter,segments.quarter
RecommendedBudgetAmount,campaign_budget.recommended_budget_amount_micros
RelativeCtr,metrics.relative_ctr
SearchAbsoluteTopImpressionShare,metrics.search_absolute_top_impression_share
SearchBudgetLostAbsoluteTopImpressionShare,metrics.search_budget_lost_absolute_top_impression_share
SearchBudgetLostImpressionShare,metrics.search_budget_lost_impression_share
SearchBudgetLostTopImpressionShare,metrics.search_budget_lost_top_impression_share
SearchClickShare,metrics.search_click_share
SearchExactMatchImpressionShare,metrics.search_exact_match_impression_share
SearchImpressionShare,metrics.search_impression_share
SearchRankLostAbsoluteTopImpressionShare,metrics.search_rank_lost_absolute_top_impression_share
SearchRankLostImpressionShare,metrics.search_rank_lost_impression_share
SearchRankLostTopImpressionShare,metrics.search_rank_lost_top_impression_share
SearchTopImpressionShare,metrics.search_top_impression_share
ServingStatus,campaign.serving_status
Slot,segments.slot
StartDate,campaign.start_date
TopImpressionPercentage,metrics.top_impression_percentage
TotalAmount,campaign_budget.total_amount_micros
TrackingUrlTemplate,campaign.tracking_url_template
UrlCustomParameters,campaign.url_custom_parameters
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
ValuePerCurrentModelAttributedConversion,metrics.value_per_current_model_attributed_conversion
VideoQuartile100Rate,metrics.video_quartile_100_rate
VideoQuartile25Rate,metrics.video_quartile_25_rate
VideoQuartile50Rate,metrics.video_quartile_50_rate
VideoQuartile75Rate,metrics.video_quartile_75_rate
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
